date,revenue_quarter,operatingIncome_quarter,operatingIncomeRatio_quarter,eps_quarter,weightedAverageShsOut_quarter,revenue_year,operatingIncome_year,operatingIncomeRatio_year,eps_year,weightedAverageShsOut_year
2007-12-31,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-01,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-02,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-03,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-04,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-05,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-06,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-07,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-08,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-09,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-10,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-11,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-12,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-13,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-14,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-15,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-16,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-17,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-18,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-19,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-20,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-21,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-22,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-23,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-24,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-25,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-26,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-27,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-28,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-29,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-30,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-01-31,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-01,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-02,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-03,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-04,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-05,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-06,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-07,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-08,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-09,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-10,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-11,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-12,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-13,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-14,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-15,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-16,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-17,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-18,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-19,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
2008-02-20,30647673000.0,7604277000.0,0.24811922914995863,77.99282821265312,126021722.0,157002219000.0,27904137000.0,0.177730844683157,226.3999984532232,119991454.0
